decision_profile,model_name,split,accuracy,top2_accuracy,macro_f1,balanced_accuracy,n_rows
BALANCED,KMeansLocalRF_K4,test,0.14285714285714285,0.5714285714285714,0.1,0.16666666666666666,7
BALANCED,KMeansLocalRF_K4,val,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.16666666666666666,7
FAST,KMeansLocalRF_K4,test,0.14285714285714285,0.42857142857142855,0.08333333333333333,0.08333333333333333,7
FAST,KMeansLocalRF_K4,val,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.16666666666666666,7
SECURE,KMeansLocalRF_K4,test,0.2857142857142857,0.5714285714285714,0.26666666666666666,0.3333333333333333,7
SECURE,KMeansLocalRF_K4,val,0.5714285714285714,0.8571428571428571,0.5,0.625,7
