pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id,latency_score_norm,throughput_score_norm,security_score_norm,robustness_score_norm,decision_profile,feasible,oracle_utility
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,1635.193993,1657.2447859,1635.193993,1657.2447859,626.2253924510351,5009.803139608281,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1635.193993,5009.803139608281,033a15b88c5626ec,1.0,1.0,0.6619992061004064,1.0,SECURE,True,0.7971995236602438
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,1693.94633,1724.6189285,1693.94633,1724.6189285,604.5055748608045,4836.044598886436,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1693.94633,4836.044598886436,033a15b88c5626ec,0.0,0.0,0.6950157824182576,1.0,SECURE,True,0.6670094694509545
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1487.921385,1530.9177834000002,1487.921385,1530.9177834000002,688.2084028921998,5505.667223137599,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1487.921385,5505.667223137599,07d8fd65ce198650,1.0,1.0,0.6950157824182576,1.0,FAST,True,0.9695015782418258
P3_HYBRID_QKD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1525.226485,1634.7270073,1525.226485,1634.7270073,671.3757006389776,5371.005605111821,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1525.226485,5371.005605111821,07d8fd65ce198650,0.0,0.0,0.7000734665461884,1.0,FAST,True,0.22000734665461885
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1487.921385,1530.9177834000002,1487.921385,1530.9177834000002,688.2084028921998,5505.667223137599,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1487.921385,5505.667223137599,07d8fd65ce198650,1.0,1.0,0.6950157824182576,1.0,BALANCED,True,0.8932555238463902
P3_HYBRID_QKD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1525.226485,1634.7270073,1525.226485,1634.7270073,671.3757006389776,5371.005605111821,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1525.226485,5371.005605111821,07d8fd65ce198650,0.0,0.0,0.7000734665461884,1.0,BALANCED,True,0.4450257132911659
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1487.921385,1530.9177834000002,1487.921385,1530.9177834000002,688.2084028921998,5505.667223137599,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1487.921385,5505.667223137599,07d8fd65ce198650,1.0,1.0,0.6950157824182576,1.0,SECURE,True,0.8170094694509545
P3_HYBRID_QKD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1525.226485,1634.7270073,1525.226485,1634.7270073,671.3757006389776,5371.005605111821,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1525.226485,5371.005605111821,07d8fd65ce198650,0.0,0.0,0.7000734665461884,1.0,SECURE,True,0.670044079927713
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,1490.407613,1608.2989901,1490.407613,1608.2989901,687.0603659483589,5496.482927586872,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1490.407613,5496.482927586872,0b4f707926e27c34,1.0,1.0,0.6619992061004064,1.0,FAST,True,0.9661999206100407
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,1562.999495,1632.2145116,1562.999495,1632.2145116,655.1505635643216,5241.204508514573,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1562.999495,5241.204508514573,0b4f707926e27c34,0.0,0.0,0.6950157824182576,1.0,FAST,True,0.21950157824182576
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,1490.407613,1608.2989901,1490.407613,1608.2989901,687.0603659483589,5496.482927586872,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1490.407613,5496.482927586872,0b4f707926e27c34,1.0,1.0,0.6619992061004064,1.0,BALANCED,True,0.8816997221351421
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,1562.999495,1632.2145116,1562.999495,1632.2145116,655.1505635643216,5241.204508514573,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1562.999495,5241.204508514573,0b4f707926e27c34,0.0,0.0,0.6950157824182576,1.0,BALANCED,True,0.4432555238463901
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,1490.407613,1608.2989901,1490.407613,1608.2989901,687.0603659483589,5496.482927586872,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1490.407613,5496.482927586872,0b4f707926e27c34,1.0,1.0,0.6619992061004064,1.0,SECURE,True,0.7971995236602438
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,1.0,1562.999495,1632.2145116,1562.999495,1632.2145116,655.1505635643216,5241.204508514573,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1562.999495,5241.204508514573,0b4f707926e27c34,0.0,0.0,0.6950157824182576,1.0,SECURE,True,0.6670094694509545
P3_HYBRID_QKD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1680.545681,1770.7698701,1470.545681,1560.7698701,2437.303577230163,19498.428617841302,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1680.545681,19498.428617841302,1153cde19827680f,1.0,1.0,0.7000734665461884,1.0,FAST,True,0.9700073466546189
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1720.865305,1724.5272862000002,1510.865305,1514.5272862000002,2380.197908632948,19041.583269063583,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1720.865305,19041.583269063583,1153cde19827680f,0.8133185570877061,0.8132300507824107,0.6619992061004064,1.0,FAST,True,0.8261711371647612
P1_PQC_MLDSA,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1733.996123,1746.5996249,1523.996123,1536.5996249,2362.173678285669,18897.389426285357,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1733.996123,18897.389426285357,1153cde19827680f,0.7525223539569751,0.7542799558208839,0.6970737530133887,1.0,FAST,True,0.784450661141852
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,0.6666666666666666,1896.52657,1919.09875,1686.52657,1709.09875,2131.5495261291157,17052.396209032922,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1896.52657,17052.396209032922,1153cde19827680f,0.0,0.0,0.6950157824182576,0.6666666666666666,FAST,True,0.16950157824182577
P3_HYBRID_QKD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1680.545681,1770.7698701,1470.545681,1560.7698701,2437.303577230163,19498.428617841302,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1680.545681,19498.428617841302,1153cde19827680f,1.0,1.0,0.7000734665461884,1.0,BALANCED,True,0.8950257132911659
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1720.865305,1724.5272862000002,1510.865305,1514.5272862000002,2380.197908632948,19041.583269063583,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1720.865305,19041.583269063583,1153cde19827680f,0.8133185570877061,0.8132300507824107,0.6619992061004064,1.0,BALANCED,True,0.7976797968788156
