decision_profile,model_name,feature,built_in_importance,permutation_importance_mean,permutation_importance_std
SECURE,RandomForest,qkd_raw_cost_log2,0.0038413143746286863,0.0,0.0
SECURE,RandomForest,lindblad_on,0.06879601587034738,0.0,0.0
SECURE,RandomForest,lindblad_intensity,0.052474426980657525,0.0,0.0
SECURE,RandomForest,payload_pressure_log2,0.01643197262606315,0.0,0.0
SECURE,RandomForest,sec_minus_lat,0.0,0.0,0.0
SECURE,RandomForest,rob_x_loss,0.050732534395104154,0.0,0.0
SECURE,RandomForest,network_stress,0.08131493977758604,-0.04761904761904761,0.06734350297014736
SECURE,RandomForest,lat_x_delay,0.0640813932656425,-0.07619047619047617,0.07126966450997982
SECURE,RandomForest,P_NOISE,0.03223594482180406,-0.10476190476190474,0.06317380553057905
SECURE,RandomForest,qkd_noise_ratio,0.050582797090571924,-0.10476190476190474,0.06317380553057905
SECURE,RandomForest,qkd_risk_proxy,0.03528269187230485,-0.10476190476190474,0.06317380553057905
SECURE,RandomForest,sec_x_noise,0.036550027902270604,-0.10476190476190474,0.06317380553057905
