pipeline_id,entropy_sample_count_x,randomness_sample_count,avalanche_sample_count_x,mi_sample_count_x,attack_sample_count_x,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,entropy_sample_count_y,aead_key_byte_shannon_entropy,aead_key_byte_min_entropy,aead_key_mean_bit_entropy,aead_key_mean_bit_min_entropy,session_master_byte_shannon_entropy,session_master_byte_min_entropy,session_master_mean_bit_entropy,session_master_mean_bit_min_entropy,bitstream_length,freq_p_value,freq_pass,runs_p_value,runs_pass,serial_p_value,serial_pass,apen_p_value,apen_pass,randomness_pass_rate,avalanche_sample_count_y,key_avalanche_mean,key_avalanche_std,ciphertext_avalanche_mean,ciphertext_avalanche_std,mi_sample_count_y,mi_keybyte0_ctbyte0_bits,mi_keybyte0_ctbyte1_bits,mi_keybyte0_tagbyte0_bits,normalized_mi_mean,normalized_mi_max,attack_sample_count_y,ciphertext_tamper_success_rate,aad_tamper_success_rate,transcript_forgery_success_rate,replay_attack_success_rate,partial_leakage_reduced_key_recovery_accuracy,overall_attack_success_rate
A6_FULL_HARDENED,24,,12,64,24,0.8845100863109849,0.75,0.9905521055911681,0.04392332207402111,1.0,1.0,0.7409950018312257,24,7.7552118830684265,6.415037499278844,0.9713922175361469,0.7953669549143842,7.740747181280565,6.584962500721156,0.9733028928196605,0.8028055786544839,6144,0.0,False,0.7119284378846783,True,0.3664452151507752,True,0.7482272520832265,True,0.75,12,0.5081380208333334,0.044583499965394145,0.5013098735754985,0.006429348113252102,64,5.5625,5.382659765557392,5.53125,0.9499911936897956,0.9621621621621622,24,0.0,0.0,0.0,0.0,0.0,0.0
A2_PQC_LINDBLAD,21,,12,64,21,0.8790009125128998,0.75,0.9852297008547009,0.03885795608400472,1.0,1.0,0.737806274473231,21,7.680516661423697,6.584962500721156,0.9644642921404541,0.7683544626430385,7.699848548122937,6.222392421336448,0.9634935319825114,0.774056325976574,5376,0.0,False,0.24812286668884964,True,0.2655657409350839,True,0.24012510237795717,True,0.75,12,0.51171875,0.03433785441373176,0.49694845085470085,0.006680354559265065,64,5.59375,5.413909765557392,5.550704882778696,0.954716520264423,0.9675675675675676,21,0.0,0.0,0.0,0.0,0.0,0.0
A5_HYBRID_QKD_LINDBLAD,24,,12,64,24,0.8781876602240758,0.75,0.975,0.04479916444428739,1.0,1.0,0.7372567479448764,24,7.740369148759367,6.415037499278844,0.964211192821061,0.7791136170704661,7.730226052069378,6.2630344058337934,0.9685866704323169,0.789913431693039,6144,0.0,False,0.2011734746314644,True,0.3671616278556573,True,0.7359290782846604,True,0.75,12,0.5208333333333334,0.030089114604925395,0.5041666666666667,0.008861090348752872,64,5.519454882778696,5.519454882778696,5.613204882778695,0.949853241972825,0.9605484291386003,24,0.0,0.0,0.0,0.0,0.0,0.0
A4_HYBRID_QKD_AUTH,24,,12,64,24,0.8818149834759933,0.75,0.9956385772792022,0.0279656361417841,1.0,0.9743589743589743,0.7366106084071842,24,7.741195552936982,6.2630344058337934,0.9734798769177264,0.8032513121398996,7.769024194534498,6.584962500721156,0.9705410367890199,0.798140720753542,6144,0.0,False,0.9533409110727545,True,0.5558595729139164,True,0.37730069731450033,True,0.75,12,0.50390625,0.027871330781745144,0.5004551727207978,0.009826020007124875,64,5.6875,5.675704882778696,5.65625,0.9708066956308703,0.9732620320855615,24,0.0,0.0,0.0,0.0,0.0,0.0
B2_MINIMAL_PQC,24,,12,64,24,0.8840988477144174,0.75,0.9915726273148148,0.02350930815604435,1.0,0.9814814814814815,0.7360365417311094,24,7.760507617241629,6.415037499278844,0.9716341800397506,0.7928180712528603,7.734782567957995,6.584962500721156,0.9668789182384175,0.7866111379449712,6144,0.0,False,0.20646473547995647,True,0.16463301094374674,True,0.04491177904911554,True,0.75,12,0.4990234375,0.028419631389779952,0.5074508101851852,0.015227379412580105,64,5.6875,5.675704882778696,5.71875,0.9743717580194621,0.9786096256684492,24,0.0,0.0,0.0,0.0,0.0,0.0
B1_CLASSICAL,24,,12,64,24,0.887684495869173,0.75,0.9845558449074073,0.023991097365278824,1.0,0.9814814814814815,0.7359767942505342,24,7.730860792997783,6.584962500721156,0.9684810261190658,0.7927790456427589,7.764231101419785,6.584962500721156,0.9670933745272867,0.7829416462432173,6144,0.0,False,0.05872195903484277,True,0.022309685331665115,True,0.10069596085725913,True,0.75,12,0.5146484375,0.037767048953859766,0.5007957175925927,0.012273136484170145,64,5.394454882778695,5.456954882778696,5.550704882778696,0.9686270265223277,0.9833907787471147,24,0.0,0.0,0.0,0.0,0.0,0.0
A3_HYBRID_QKD,23,,12,64,23,0.8828339212842458,0.75,0.9952863470441595,0.027164346135815975,1.0,0.9487179487179487,0.735370199040746,23,7.734949391456116,6.523561956057013,0.9680542786109357,0.7809674880869064,7.719527578252437,6.523561956057013,0.9650542763125182,0.7724175266537574,5888,0.0,False,0.5663639809874603,True,0.8484007486103393,True,0.7551671936727725,True,0.75,12,0.4996744791666667,0.022865798021593286,0.5043881321225071,0.008231822201239693,64,5.402114648336087,5.538909765557391,5.320159765557391,0.9623153096567756,0.9833559980715925,23,0.0,0.0,0.0,0.0,0.0,0.0
A0_MINIMAL_PQC,6,,6,64,6,0.7697637617913192,0.75,0.9940215455840455,0.033130640939054434,1.0,1.0,0.7106703004732475,6,6.924577149057244,5.584962500721156,0.8699459842077018,0.645416606735275,6.980592188131012,5.584962500721156,0.847143125068839,0.6183774238145757,1536,0.0,False,0.9186545268167065,True,0.9922179382602435,True,0.8773373923220377,True,0.75,6,0.5052083333333334,0.03366332427199765,0.5007701210826211,0.007881336045175182,64,5.394454882778695,5.59375,5.40625,0.9555966416191589,0.9781420765027322,6,0.0,0.0,0.0,0.0,0.0,0.0
A1_PQC_AUTH,6,,6,64,6,0.7655073089943982,0.75,0.985648148148148,0.03967003119815249,1.0,1.0,0.7096580557104524,6,7.009288932945215,5.584962500721156,0.8600002904081041,0.6277475163611923,6.932440560538113,5.584962500721156,0.8738858690367577,0.6498202204842066,1536,0.0,False,0.9184958920657137,True,0.9844964370054085,True,0.5672893077830232,True,0.75,6,0.48828125,0.032960973608951546,0.4973668981481481,0.006597143373146109,64,5.5,5.644454882778695,5.59375,0.9547639148822071,0.9658960227214879,6,0.0,0.0,0.0,0.0,0.0,0.0
P3_HYBRID_QKD,24,,12,64,24,0.8830583547843085,0.75,0.9944299768518519,0.045314105193227316,0.8,0.9716312056737588,0.7000734665461884,24,7.753070510180046,6.584962500721156,0.96412830037615,0.7758509923984338,7.771547172812121,6.584962500721156,0.970772598657721,0.7979747661729889,6144,0.0,False,0.4603094339989918,True,0.6566704945531048,True,0.9057163056120022,True,0.75,12,0.49609375,0.030531513153699775,0.49833622685185186,0.009576966144553672,64,5.468749999999999,5.425704882778698,5.456954882778696,0.953087636608081,0.9562841530054643,24,0.0,0.0,0.0,1.0,0.0,0.2
