decision_profile,best_model_name,val_accuracy,val_top2_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_top2_accuracy,test_macro_f1,test_balanced_accuracy
BALANCED,RandomForest,0.42857142857142855,0.8571428571428571,0.1875,0.25,0.14285714285714285,0.5714285714285714,0.125,0.16666666666666666
FAST,XGBoost,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.0,0.2857142857142857,0.0,0.0
SECURE,RandomForest,0.42857142857142855,0.8571428571428571,0.375,0.5,0.2857142857142857,0.7142857142857143,0.375,0.3333333333333333
