pipeline_id,sample_count,aead_key_byte_shannon_entropy,aead_key_byte_min_entropy,aead_key_mean_bit_entropy,aead_key_mean_bit_min_entropy,session_master_byte_shannon_entropy,session_master_byte_min_entropy,session_master_mean_bit_entropy,session_master_mean_bit_min_entropy
A0_MINIMAL_PQC,6,6.924577149057244,5.584962500721156,0.8699459842077018,0.645416606735275,6.980592188131012,5.584962500721156,0.847143125068839,0.6183774238145757
A1_PQC_AUTH,6,7.009288932945215,5.584962500721156,0.8600002904081041,0.6277475163611923,6.932440560538113,5.584962500721156,0.8738858690367577,0.6498202204842066
A2_PQC_LINDBLAD,21,7.680516661423697,6.584962500721156,0.9644642921404541,0.7683544626430385,7.699848548122937,6.222392421336448,0.9634935319825114,0.774056325976574
A3_HYBRID_QKD,23,7.734949391456116,6.523561956057013,0.9680542786109357,0.7809674880869064,7.719527578252437,6.523561956057013,0.9650542763125182,0.7724175266537574
A4_HYBRID_QKD_AUTH,24,7.741195552936982,6.2630344058337934,0.9734798769177264,0.8032513121398996,7.769024194534498,6.584962500721156,0.9705410367890199,0.798140720753542
A5_HYBRID_QKD_LINDBLAD,24,7.740369148759367,6.415037499278844,0.964211192821061,0.7791136170704661,7.730226052069378,6.2630344058337934,0.9685866704323169,0.789913431693039
A6_FULL_HARDENED,24,7.7552118830684265,6.415037499278844,0.9713922175361469,0.7953669549143842,7.740747181280565,6.584962500721156,0.9733028928196605,0.8028055786544839
A7_PQC_AUTH_NO_REPLAY,6,6.968797070909707,6.0,0.8820938931558024,0.643705327937052,6.959758854797679,5.584962500721156,0.8650113209184743,0.6288077451588829
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,24,7.763719247919497,6.777607578663552,0.9713425662602484,0.8008565103927776,7.738223069582498,6.2630344058337934,0.9647757506763187,0.7778414384020557
B1_CLASSICAL,24,7.730860792997783,6.584962500721156,0.9684810261190658,0.7927790456427589,7.764231101419785,6.584962500721156,0.9670933745272867,0.7829416462432173
B2_MINIMAL_PQC,24,7.760507617241629,6.415037499278844,0.9716341800397506,0.7928180712528603,7.734782567957995,6.584962500721156,0.9668789182384175,0.7866111379449712
P1_PQC_MLDSA,24,7.699349793384107,6.2630344058337934,0.9728036623176117,0.8076145546305246,7.73813401711894,6.584962500721156,0.973396732661947,0.8036136914135392
P2_PQC_MLDSA_LINDBLAD,24,7.75612132739395,6.584962500721156,0.9669592073208584,0.7868095846896366,7.743309433961318,6.584962500721156,0.9704978392045234,0.7940511124376368
P3_HYBRID_QKD,24,7.753070510180046,6.584962500721156,0.96412830037615,0.7758509923984338,7.771547172812121,6.584962500721156,0.970772598657721,0.7979747661729889
P4_HYBRID_QKD_LINDBLAD,24,7.711939043132592,6.415037499278844,0.9704787022265183,0.7871811297351089,7.717815322330028,6.584962500721156,0.9662026281533269,0.7845490613073098
