model_name,split,accuracy,macro_f1,balanced_accuracy,n_rows
KMeansMajority_K3,test,0.23809523809523808,0.15610859728506787,0.22619047619047616,21
KMeansMajority_K3,val,0.38095238095238093,0.22692307692307692,0.31666666666666665,21
