K,split,silhouette,accuracy,top2_accuracy,macro_f1,balanced_accuracy,n_rows
4,test,0.2477129936418911,0.19047619047619047,0.5238095238095238,0.16233766233766234,0.1630952380952381,21
3,test,0.3365792196267216,0.14285714285714285,0.47619047619047616,0.10795454545454546,0.12142857142857143,21
2,test,0.3201224346610946,0.09523809523809523,0.42857142857142855,0.0625,0.07142857142857142,21
4,val,0.2477129936418911,0.38095238095238093,0.7142857142857143,0.35416666666666663,0.39166666666666666,21
2,val,0.3201224346610946,0.42857142857142855,0.7142857142857143,0.3125,0.3833333333333333,21
3,val,0.3365792196267216,0.2857142857142857,0.7142857142857143,0.1875,0.25,21
