model_name,split,label_source,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,positive_rate,n_rows
LogisticRegression,stress_test,simulated_abort_label,0.8076923076923077,1.0,0.8076923076923077,0.8936170212765957,,,,1.0,156
RandomForestClassifier,stress_test,simulated_abort_label,0.0,0.0,0.0,0.0,,,,1.0,156
