condition_group_id,decision_profile,composition_id,primary_pipeline_id,composition_reward,best_alias_pipeline_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,security_score
033a15b88c5626ec,FAST,COMP_ae859146ecc4,P2_PQC_MLDSA_LINDBLAD,0.5359481749700722,P2_PQC_MLDSA_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.6619992061004064
033a15b88c5626ec,FAST,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.9737256747944877,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.7372567479448764
033a15b88c5626ec,SECURE,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.8051667153519582,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.6996391223464256
033a15b88c5626ec,SECURE,COMP_2c4959b9b429,A2_PQC_LINDBLAD,0.6926837646839386,A2_PQC_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.737806274473231
033a15b88c5626ec,SECURE,COMP_7d6120b17b53,A6_FULL_HARDENED,0.816175971996761,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.7409950018312257
033a15b88c5626ec,SECURE,COMP_ae859146ecc4,P2_PQC_MLDSA_LINDBLAD,0.710803647338107,P2_PQC_MLDSA_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.6619992061004064
033a15b88c5626ec,SECURE,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.8423540487669259,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,1.0,0.7372567479448764
07d8fd65ce198650,BALANCED,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.44487369282124894,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.6996391223464256
07d8fd65ce198650,BALANCED,COMP_70678793c70b,A4_HYBRID_QKD_AUTH,0.892718497161469,A4_HYBRID_QKD_AUTH,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7366106084071842
07d8fd65ce198650,BALANCED,COMP_7d6120b17b53,A6_FULL_HARDENED,0.8059618431635445,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7409950018312257
