pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1559.825587,1614.336355,1559.825587,1614.336355,656.4836533868194,5251.869227094555,0.0,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1559.825587,5251.869227094555,6f6c8b45ec93f476
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,1024,0.02,0.06,0.1,0,0.01,0.15,1.0,1580.07055,1582.9713247,1580.07055,1582.9713247,648.0723281628152,5184.578625302522,0.0192307692307692,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1580.07055,5184.578625302522,b0f6d1cb044c1bda
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,1024,0.02,0.08,0.1,0,0.01,0.15,1.0,1636.124364,1652.3496801,1636.124364,1652.3496801,625.869293637632,5006.954349101056,0.0192307692307692,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1636.124364,5006.954349101056,90300ca6639ff1a4
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,1024,0.04,0.06,0.1,0,0.01,0.15,0.6666666666666666,1495.338192,1559.7729117,1495.338192,1559.7729117,653.5062067852866,5228.049654282293,0.0576923076923076,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1495.338192,5228.049654282293,424163238a693cc9
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,1024,0.04,0.08,0.1,0,0.01,0.15,1.0,1548.798605,1654.6972112,1548.798605,1654.6972112,661.1576202962812,5289.260962370249,0.0,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1548.798605,5289.260962370249,379100535d12afec
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,4096,0.0,0.06,0.1,0,0.01,0.15,1.0,1650.852417,1653.0549429,1650.852417,1653.0549429,620.2856109093366,4962.284887274693,0.0,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1650.852417,4962.284887274693,f38641f35f26e923
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1517.171763,1572.4627311,1517.171763,1572.4627311,674.9400595059717,5399.520476047774,0.0,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1517.171763,5399.520476047774,00cb862b5aa5bb7a
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,4096,0.02,0.06,0.1,0,0.01,0.15,1.0,1634.87899,1700.8404112,1634.87899,1700.8404112,626.3460514591358,5010.768411673086,0.0191387559808612,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1634.87899,5010.768411673086,c18f06d8698d4785
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,4096,0.02,0.08,0.1,0,0.01,0.15,1.0,1520.618457,1527.2729634,1520.618457,1527.2729634,673.4102136444079,5387.281709155263,0.0288461538461538,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1520.618457,5387.281709155263,6fb3a6e5b90ba5b6
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,4096,0.04,0.06,0.1,0,0.01,0.15,1.0,1576.355761,1633.4149771,1576.355761,1633.4149771,649.5995544498155,5196.796435598524,0.0394088669950738,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1576.355761,5196.796435598524,4e30fff09dc57e1a
